Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498258020,6/23/2017 3:47 PM,77.0 °F,64.4 °F,65%,29.89 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
1498261620,6/23/2017 4:47 PM,73.4 °F,64.4 °F,73%,29.89 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
1498265220,6/23/2017 5:47 PM,71.6 °F,62.6 °F,73%,29.89 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
1498272420,6/23/2017 7:47 PM,66.2 °F,62.6 °F,88%,29.90 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498276020,6/23/2017 8:47 PM,64.4 °F,60.8 °F,88%,29.92 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
1498139220,6/22/2017 6:47 AM,69.8 °F,60.8 °F,73%,29.70 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498142820,6/22/2017 7:47 AM,71.6 °F,64.4 °F,78%,29.72 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
1498150020,6/22/2017 9:47 AM,73.4 °F,66.2 °F,78%,29.73 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
1498153620,6/22/2017 10:47 AM,75.2 °F,64.4 °F,69%,29.74 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
1498157220,6/22/2017 11:47 AM,80.6 °F,68.0 °F,65%,29.73 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
1498160820,6/22/2017 12:47 PM,86.0 °F,64.4 °F,48%,29.73 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
1498164420,6/22/2017 1:47 PM,86.0 °F,64.4 °F,48%,29.72 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498168020,6/22/2017 2:47 PM,84.2 °F,66.2 °F,55%,29.72 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498171620,6/22/2017 3:47 PM,82.4 °F,64.4 °F,54%,29.72 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
1498178820,6/22/2017 5:47 PM,75.2 °F,62.6 °F,65%,29.73 in,10.0 mi,NNW,20.7 mph,  -,N/A,	 ,Clear
1498182420,6/22/2017 6:47 PM,73.4 °F,64.4 °F,73%,29.75 in,10.0 mi,North,  -,  -,N/A,	 ,Clear
1498186020,6/22/2017 7:47 PM,69.8 °F,64.4 °F,83%,29.77 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498189620,6/22/2017 8:47 PM,68.0 °F,62.6 °F,83%,2.97 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498052820,6/21/2017 6:47 AM,60.8 °F,57.2 °F,88%,29.82 in,7.0 mi,NNW,6.9 mph,  -,N/A,	 ,Overcast
1498056420,6/21/2017 7:47 AM,62.6 °F,59.0 °F,88%,29.82 in,7.0 mi,North,6.9 mph,  -,N/A,	 ,Overcast
1498060020,6/21/2017 8:47 AM,64.4 °F,59.0 °F,83%,29.82 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498063620,6/21/2017 9:47 AM,64.4 °F,59.0 °F,83%,29.81 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Clear
1498070820,6/21/2017 11:47 AM,73.4 °F,62.6 °F,69%,29.78 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Clear
1498074420,6/21/2017 12:47 PM,75.2 °F,64.4 °F,69%,29.77 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
1498078020,6/21/2017 1:47 PM,78.8 °F,64.4 °F,61%,29.74 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498081620,6/21/2017 2:47 PM,80.6 °F,62.6 °F,54%,29.72 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Clear
1498085220,6/21/2017 3:47 PM,82.4 °F,62.6 °F,51%,29.71 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
1498092420,6/21/2017 5:47 PM,77.0 °F,64.4 °F,65%,29.69 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1498096020,6/21/2017 6:47 PM,77.0 °F,64.4 °F,65%,29.69 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498099620,6/21/2017 7:47 PM,75.2 °F,60.8 °F,61%,29.69 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1498103220,6/21/2017 8:47 PM,69.8 °F,62.6 °F,78%,29.70 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1497966420,6/20/2017 6:47 AM,64.4 °F,60.8 °F,88%,29.85 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1497970020,6/20/2017 7:47 AM,66.2 °F,60.8 °F,83%,29.87 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1497973620,6/20/2017 8:47 AM,68.0 °F,60.8 °F,78%,29.87 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
1497977220,6/20/2017 9:47 AM,68.0 °F,60.8 °F,78%,29.87 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Clear
1497980820,6/20/2017 10:47 AM,71.6 °F,62.6 °F,73%,29.86 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1497984420,6/20/2017 11:47 AM,77.0 °F,66.2 °F,69%,29.86 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1497988020,6/20/2017 12:47 PM,77.0 °F,64.4 °F,65%,29.85 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
1497995220,6/20/2017 2:47 PM,78.8 °F,64.4 °F,61%,29.83 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1497998820,6/20/2017 3:47 PM,77.0 °F,64.4 °F,65%,29.82 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
1498002420,6/20/2017 4:47 PM,77.0 °F,68.0 °F,74%,29.81 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498006020,6/20/2017 5:47 PM,73.4 °F,64.4 °F,73%,29.81 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498009620,6/20/2017 6:47 PM,69.8 °F,62.6 °F,78%,29.81 in,10.0 mi,North,20.7 mph,  -,N/A,	 ,Clear
1498016820,6/20/2017 8:47 PM,66.2 °F,59.0 °F,78%,29.82 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
1497880020,6/19/2017 6:47 AM,66.2 °F,62.6 °F,88%,29.71 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
1497883620,6/19/2017 7:47 AM,69.8 °F,62.6 °F,78%,29.81 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1497887220,6/19/2017 8:47 AM,71.6 °F,64.4 °F,78%,29.82 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1497890820,6/19/2017 9:47 AM,73.4 °F,64.4 °F,73%,29.81 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1497894420,6/19/2017 10:47 AM,77.0 °F,66.2 °F,69%,29.82 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1497898020,6/19/2017 11:47 AM,80.6 °F,66.2 °F,61%,29.81 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1497901620,6/19/2017 12:47 PM,82.4 °F,66.2 °F,58%,29.80 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1497905220,6/19/2017 1:47 PM,82.4 °F,64.4 °F,54%,29.80 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Clear
1497919620,6/19/2017 5:47 PM,75.2 °F,62.6 °F,65%,29.79 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1497923220,6/19/2017 6:47 PM,71.6 °F,62.6 °F,73%,29.79 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1497930420,6/19/2017 8:47 PM,  -,  -,N/A%,29.82 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1497793620,6/18/2017 6:47 AM,71.6 °F,64.4 °F,78%,29.80 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1497797220,6/18/2017 7:47 AM,73.4 °F,66.2 °F,78%,29.80 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
1497800820,6/18/2017 8:47 AM,75.2 °F,68.0 °F,78%,29.79 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
1497808020,6/18/2017 10:47 AM,82.4 °F,68.0 °F,62%,29.78 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
1497811620,6/18/2017 11:47 AM,87.8 °F,73.4 °F,62%,29.77 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
