Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1486666560,2/9/2017 11:56 AM,  -,  -,N/A%,30.08 in,  -,SW,10.4 mph,  -,N/A,	 ,Clear
1486670160,2/9/2017 12:56 PM,  -,  -,N/A%,30.05 in,  -,WSW,10.4 mph,18.4 mph,N/A,	 ,Clear
1486673760,2/9/2017 1:56 PM,  -,  -,N/A%,30.03 in,  -,SSW,9.2 mph,  -,N/A,	 ,Unknown
1486677360,2/9/2017 2:56 PM,1.0 °F,  -,N/A%,30.02 in,  -,WSW,12.7 mph,  -,N/A,	 ,Clear
1486680960,2/9/2017 3:56 PM,  -,  -,N/A%,30.03 in,  -,SW,16.1 mph,  -,N/A,	 ,Clear
1486684560,2/9/2017 4:56 PM,  -,  -,N/A%,30.02 in,  -,SW,18.4 mph,  -,N/A,	 ,Clear
1486688160,2/9/2017 5:56 PM,  -,  -,N/A%,30.03 in,  -,SW,12.7 mph,  -,N/A,	 ,Clear
1486691760,2/9/2017 6:56 PM,  -,  -,N/A%,30.02 in,  -,WSW,13.8 mph,  -,N/A,	 ,Clear
1486695360,2/9/2017 7:56 PM,  -,  -,N/A%,30.01 in,  -,West,10.4 mph,  -,N/A,	 ,Clear
1486698960,2/9/2017 8:56 PM,  -,  -,N/A%,30.00 in,  -,WSW,12.7 mph,  -,N/A,	 ,Clear
1486702560,2/9/2017 9:56 PM,  -,  -,N/A%,29.99 in,  -,ENE,5.8 mph,  -,N/A,	 ,Clear
1486706160,2/9/2017 10:56 PM,  -,  -,N/A%,29.98 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486709760,2/9/2017 11:56 PM,  -,  -,N/A%,29.97 in,  -,SW,11.5 mph,  -,N/A,	 ,Clear
1486540560,2/8/2017 12:56 AM,  -,  -,N/A%,29.75 in,  -,WSW,10.4 mph,  -,N/A,	 ,Clear
1486544160,2/8/2017 1:56 AM,  -,  -,N/A%,29.76 in,  -,NE,3.5 mph,  -,N/A,	 ,Clear
1486547760,2/8/2017 2:56 AM,  -,  -,N/A%,29.76 in,  -,WNW,3.5 mph,  -,N/A,	 ,Clear
1486551360,2/8/2017 3:56 AM,  -,  -,N/A%,29.79 in,  -,West,9.2 mph,  -,N/A,	 ,Clear
1486554960,2/8/2017 4:56 AM,  -,  -,N/A%,29.81 in,  -,NW,17.3 mph,25.3 mph,N/A,	 ,Clear
1486558560,2/8/2017 5:56 AM,  -,  -,N/A%,29.86 in,  -,NW,13.8 mph,  -,N/A,	 ,Clear
1486565760,2/8/2017 7:56 AM,  -,  -,N/A%,29.94 in,  -,North,12.7 mph,  -,N/A,	 ,Clear
1486569360,2/8/2017 8:56 AM,  -,  -,N/A%,29.99 in,  -,North,11.5 mph,  -,N/A,	 ,Clear
1486572960,2/8/2017 9:56 AM,  -,  -,N/A%,30.04 in,  -,NNE,11.5 mph,  -,N/A,	 ,Clear
1486576560,2/8/2017 10:56 AM,  -,  -,N/A%,30.06 in,  -,NNW,9.2 mph,  -,N/A,	 ,Clear
1486580160,2/8/2017 11:56 AM,  -,  -,N/A%,30.04 in,  -,West,17.3 mph,24.2 mph,N/A,	 ,Clear
1486583760,2/8/2017 12:56 PM,  -,  -,N/A%,30.02 in,  -,NW,11.5 mph,20.7 mph,N/A,	 ,Clear
1486587360,2/8/2017 1:56 PM,  -,  -,N/A%,30.02 in,  -,NW,8.1 mph,17.3 mph,N/A,	 ,Clear
1486590960,2/8/2017 2:56 PM,  -,  -,N/A%,30.04 in,  -,NNW,8.1 mph,  -,N/A,	 ,Clear
1486594560,2/8/2017 3:56 PM,  -,  -,N/A%,30.05 in,  -,NNW,8.1 mph,21.9 mph,N/A,	 ,Clear
1486598160,2/8/2017 4:56 PM,  -,  -,N/A%,30.06 in,  -,SE,15.0 mph,  -,N/A,	 ,Clear
1486601760,2/8/2017 5:56 PM,  -,  -,N/A%,30.09 in,  -,SSE,12.7 mph,  -,N/A,	 ,Clear
1486605360,2/8/2017 6:56 PM,  -,  -,N/A%,30.11 in,  -,ESE,9.2 mph,  -,N/A,	 ,Clear
